,model,window_size,runtime,auc,precision,recall,specificity,f1-score
0,ExtraTrees,7.0 $\pm$ 0.0,575.0 $\pm$ 327.56,99.2 $\pm$ 0.84,91.26 $\pm$ 11.26,82.6 $\pm$ 11.89,98.83 $\pm$ 1.51,85.94 $\pm$ 8.68
1,KNN,7.0 $\pm$ 0.0,167.8 $\pm$ 97.44,79.2 $\pm$ 8.81,77.14 $\pm$ 26.42,37.9 $\pm$ 13.33,96.1 $\pm$ 6.91,47.48 $\pm$ 11.33
2,LogisticCV,7.0 $\pm$ 0.0,64.2 $\pm$ 15.74,94.0 $\pm$ 3.74,87.22 $\pm$ 10.73,76.97 $\pm$ 14.38,98.24 $\pm$ 2.06,81.26 $\pm$ 11.01
3,RandomForest,7.0 $\pm$ 0.0,113.2 $\pm$ 68.31,99.0 $\pm$ 1.0,88.6 $\pm$ 11.99,83.35 $\pm$ 10.54,98.28 $\pm$ 1.93,84.98 $\pm$ 6.7
4,RidgeCV,7.0 $\pm$ 0.0,34.0 $\pm$ 36.67,96.0 $\pm$ 2.92,98.75 $\pm$ 2.8,67.49 $\pm$ 10.3,99.73 $\pm$ 0.59,79.73 $\pm$ 7.53
