,model,window_size,runtime,auc,precision,recall,specificity,f1-score
0,ExtraTrees,7.0 $\pm$ 0.0,573.2 $\pm$ 167.86,98.8 $\pm$ 0.84,90.05 $\pm$ 7.68,92.85 $\pm$ 4.87,96.08 $\pm$ 2.58,91.18 $\pm$ 3.95
1,KNN,7.0 $\pm$ 0.0,344.4 $\pm$ 195.09,81.4 $\pm$ 7.5,84.47 $\pm$ 13.75,31.68 $\pm$ 12.04,97.72 $\pm$ 2.43,44.64 $\pm$ 13.61
2,LogisticCV,7.0 $\pm$ 0.0,97.2 $\pm$ 38.56,98.2 $\pm$ 0.84,89.23 $\pm$ 11.18,87.83 $\pm$ 11.42,95.9 $\pm$ 4.32,87.62 $\pm$ 6.85
3,RandomForest,7.0 $\pm$ 0.0,199.0 $\pm$ 83.59,98.6 $\pm$ 0.55,89.15 $\pm$ 8.94,89.73 $\pm$ 7.8,95.8 $\pm$ 2.95,89.01 $\pm$ 5.22
4,RidgeCV,7.0 $\pm$ 0.0,33.0 $\pm$ 3.94,98.4 $\pm$ 0.89,91.64 $\pm$ 8.57,82.86 $\pm$ 13.48,97.09 $\pm$ 2.83,86.11 $\pm$ 7.74
