,model,window_size,runtime,precision,recall,f1-score
0,ExtraTrees,7.0 $\pm$ 0.0,0.83 $\pm$ 0.01,0.7 $\pm$ 0.41,0.57 $\pm$ 0.33,0.63 $\pm$ 0.37
1,KNN,7.0 $\pm$ 0.0,0.82 $\pm$ 0.08,0.68 $\pm$ 0.4,0.54 $\pm$ 0.34,0.6 $\pm$ 0.36
2,LogisticCV,7.0 $\pm$ 0.0,17.66 $\pm$ 8.66,0.38 $\pm$ 0.42,0.07 $\pm$ 0.07,0.11 $\pm$ 0.11
3,RandomForest,7.0 $\pm$ 0.0,45.02 $\pm$ 2.37,0.68 $\pm$ 0.4,0.52 $\pm$ 0.3,0.59 $\pm$ 0.34
4,RidgeCV,7.0 $\pm$ 0.0,1.59 $\pm$ 0.04,0.4 $\pm$ 0.55,0.01 $\pm$ 0.01,0.01 $\pm$ 0.02
