,model,window_size,runtime,precision,recall,f1-score
0,ExtraTrees,7.0 $\pm$ 0.0,0.35 $\pm$ 0.01,0.91 $\pm$ 0.05,0.86 $\pm$ 0.08,0.88 $\pm$ 0.04
1,KNN,7.0 $\pm$ 0.0,0.1 $\pm$ 0.01,0.74 $\pm$ 0.13,0.19 $\pm$ 0.17,0.29 $\pm$ 0.21
2,LogisticCV,7.0 $\pm$ 0.0,4.59 $\pm$ 7.1,0.91 $\pm$ 0.07,0.76 $\pm$ 0.14,0.82 $\pm$ 0.09
3,RandomForest,7.0 $\pm$ 0.0,3.99 $\pm$ 0.18,0.89 $\pm$ 0.06,0.85 $\pm$ 0.1,0.87 $\pm$ 0.05
4,RidgeCV,7.0 $\pm$ 0.0,0.8 $\pm$ 0.11,0.92 $\pm$ 0.06,0.67 $\pm$ 0.2,0.77 $\pm$ 0.14
