,model,window_size,runtime,auc,precision,recall,specificity,f1-score
0,ExtraTrees,7.0 $\pm$ 0.0,128.8 $\pm$ 6.02,98.8 $\pm$ 0.84,91.12 $\pm$ 5.54,72.55 $\pm$ 8.51,99.16 $\pm$ 0.62,80.35 $\pm$ 4.04
1,KNN,7.0 $\pm$ 0.0,298.2 $\pm$ 15.06,95.2 $\pm$ 2.59,84.98 $\pm$ 4.9,77.43 $\pm$ 7.51,98.42 $\pm$ 0.82,80.9 $\pm$ 5.36
2,LogisticCV,7.0 $\pm$ 0.0,69.0 $\pm$ 3.61,75.4 $\pm$ 4.51,53.49 $\pm$ 27.1,12.31 $\pm$ 7.54,98.27 $\pm$ 1.26,17.61 $\pm$ 10.33
3,RandomForest,7.0 $\pm$ 0.0,156.4 $\pm$ 7.02,97.6 $\pm$ 1.14,91.16 $\pm$ 4.49,67.85 $\pm$ 8.04,99.21 $\pm$ 0.51,77.46 $\pm$ 4.65
4,RidgeCV,7.0 $\pm$ 0.0,18.0 $\pm$ 0.71,73.8 $\pm$ 3.49,94.29 $\pm$ 12.78,1.21 $\pm$ 1.11,99.98 $\pm$ 0.04,2.36 $\pm$ 2.15
