model,runtime
Catch22,14.037733333333334
ExtraTrees,0.42566666666666664
Hydra,48.0158
KNN,0.2701333333333333
LogisticCV,0.07680000000000001
MultiRocketHydra,54.912733333333335
QUANT,10.401533333333333
RandomForest,0.1562
RidgeCV,0.028333333333333332
Rocket,10.235066666666667
