,model,window_size,runtime,precision,recall,f1-score
0,Hydra,4760,143.07780236378312,0.8571428571428571,0.7433628318584071,0.7962085308056872
1,Rocket,4760,20.597069242969155,0.95,0.8407079646017699,0.892018779342723
2,MultiRocketHydra,4760,153.69492700695992,0.9029126213592233,0.8230088495575221,0.8611111111111112
3,FCN,4760,859.4958919100463,0.7692307692307693,0.08849557522123894,0.15873015873015872
4,Catch22,4760,20.467185378074646,0.8990825688073395,0.8672566371681416,0.8828828828828829
5,QUANT,4760,75.93768389895558,0.8928571428571429,0.8849557522123894,0.8888888888888888
6,DrCIF,4760,37963.435565827414,0.905982905982906,0.9380530973451328,0.9217391304347826
