,model,window_size,runtime,precision,recall,f1-score
0,Logistic,1666,0.7889367565512657,0.8303571428571429,0.8230088495575221,0.8266666666666667
1,RandomForest,1666,3.074392147362232,0.8347107438016529,0.8938053097345132,0.8632478632478633
2,KNN,1666,0.07224132493138313,0.8676470588235294,0.5221238938053098,0.6519337016574586
3,Ridge,1666,0.0314647052437067,0.7570093457943925,0.7168141592920354,0.7363636363636363
4,ExtraTrees,1666,0.5107029173523188,0.8717948717948718,0.9026548672566371,0.8869565217391304
