,model,window_size,runtime,precision,recall,f1-score
0,Catch22,7.0 $\pm$ 0.0,85.99 $\pm$ 1.92,0.73 $\pm$ 0.42,0.69 $\pm$ 0.41,0.7 $\pm$ 0.41
1,Hydra,7.0 $\pm$ 0.0,131.95 $\pm$ 0.93,0.77 $\pm$ 0.43,0.71 $\pm$ 0.43,0.74 $\pm$ 0.43
2,MultiRocketHydra,7.0 $\pm$ 0.0,180.53 $\pm$ 3.63,0.78 $\pm$ 0.44,0.72 $\pm$ 0.42,0.75 $\pm$ 0.43
3,QUANT,7.0 $\pm$ 0.0,140.16 $\pm$ 11.47,0.79 $\pm$ 0.44,0.71 $\pm$ 0.42,0.74 $\pm$ 0.42
4,Rocket,7.0 $\pm$ 0.0,77.44 $\pm$ 3.31,0.77 $\pm$ 0.43,0.71 $\pm$ 0.41,0.74 $\pm$ 0.42
