,model,window_size,runtime,precision,recall,f1-score
0,Logistic,4760,6.184040820226073,0.7478991596638656,0.7876106194690266,0.7672413793103449
1,RandomForest,4760,5.278668845072389,0.8928571428571429,0.8849557522123894,0.8888888888888888
2,KNN,4760,0.38392703235149384,0.9090909090909091,0.4424778761061947,0.5952380952380952
3,Ridge,4760,0.20460350066423416,0.6637931034482759,0.6814159292035398,0.6724890829694323
4,ExtraTrees,4760,0.39814374037086964,0.8869565217391304,0.9026548672566371,0.8947368421052632
